Particip,pid,e-pvq1,e-pvq2,e-pvq3,e-pvq4,e-pvq5,e-pvq6,e-pvq7,e-pvq8,e-pvq9,e-pvq10,e-pvq11,e-pvq12,e-pvq13,e-pvq14,e-pvq15,e-pvq16,e-pvq17
End-user,p1,6,4,7,4,7,7,7,7,6,6,6,6,1,1,6,2,5
End-user,p2,5,6,4,4,7,7,7,7,7,6,7,6,1,1,2,3,5
End-user,p3,7,7,7,6,6,7,7,7,6,7,6,7,5,5,4,5,7
End-user,p4,7,6,6,6,6,7,6,7,7,4,6,5,3,3,5,6,5
End-user,p5,6,7,7,6,7,7,7,7,7,6,7,6,1,1,5,4,6
End-user,p6,6,7,4,6,5,7,6,7,7,7,5,7,2,3,3,5,7
End-user,p7,6,5,7,6,7,6,7,6,7,6,4,7,5,5,7,6,6
End-user,p8,6,5,6,6,6,7,6,6,7,6,5,5,4,5,6,5,6
End-user,p9,7,6,6,6,7,7,6,7,7,6,5,7,1,1,3,2,6
End-user,p10,6,5,5,6,4,6,5,6,5,6,3,5,2,4,5,4,5
End-user,p11,7,6,7,6,7,7,7,7,6,7,6,6,6,6,6,5,6
End-user,p12,6,5,5,6,6,5,6,6,5,6,3,5,4,4,4,5,5
End-user,p13,7,6,6,6,7,7,7,7,6,5,3,4,4,1,7,5,2
End-user,p14,7,7,6,7,7,7,7,7,7,7,7,7,7,5,7,7,7
End-user,p15,3,3,6,6,6,4,7,3,6,4,6,5,4,5,4,6,6
End-user,p16,5,2,2,5,5,5,7,6,7,7,7,7,1,3,4,4,6
End-user,p17,5,7,3,2,5,7,7,7,7,7,7,7,2,1,6,1,7
End-user,p18,5,6,2,5,7,7,7,7,7,6,6,6,2,1,3,2,6
End-user,p19,7,7,5,6,7,7,7,7,7,7,7,7,1,1,5,3,5
End-user,p20,5,6,5,5,6,5,6,6,5,5,5,4,6,4,4,3,5
End-user,p21,7,7,7,4,7,7,6,6,7,6,7,6,1,1,5,3,3
End-user,p22,6,6,7,4,7,7,7,7,7,6,7,7,1,2,4,2,2
End-user,p23,7,6,5,7,5,7,7,7,7,6,3,6,4,4,5,6,5
End-user,p24,7,7,7,7,7,7,7,7,7,4,7,6,1,1,4,7,4
Test-user,p25,7,7,6,7,7,6,7,6,6,6,7,6,1,1,4,4,6
Test-user,p26,6,6,6,5,7,6,7,7,6,6,6,7,5,6,7,6,7
Test-user,p27,6,7,6,5,7,6,7,7,6,6,7,7,1,2,6,5,7
Test-user,p28,7,7,7,7,7,6,7,7,7,5,6,5,1,1,2,2,3
Test-user,p29,5,6,6,5,4,6,4,5,5,6,6,7,3,4,6,3,7
Test-user,p30,4,5,6,2,6,5,7,5,6,6,5,7,1,1,6,2,6
Test-user,p31,5,6,6,5,6,6,7,6,6,6,5,5,1,1,2,4,4
Test-user,p32,7,7,7,7,7,7,7,7,7,7,7,7,1,1,5,5,6
Test-user,p33,6,6,5,6,7,6,7,5,5,6,6,6,1,1,3,4,5
Test-user,p34,5,5,1,5,6,6,6,6,6,7,7,7,3,2,5,5,7
Test-user,p35,5,4,5,1,5,3,6,7,7,5,7,7,4,4,7,5,7
Test-user,p36,6,6,5,4,6,5,6,6,5,5,6,7,4,4,5,5,6
Test-user,p37,5,5,6,2,7,6,5,3,7,6,7,6,1,2,6,7,6
Test-user,p38,6,7,7,6,7,7,7,7,7,7,7,7,3,3,5,5,7
Test-user,p39,5,5,6,4,7,5,7,7,4,5,6,7,3,1,5,5,7
