pid,Biospheric,Altruistic,Hedonic,Egoistic,slope1,slope2,slope3
stak,5.25,6.8,6,3,0.333333333,0.44,0.440
stak,4.75,7,6.333333333,2.4,0.6,0.56,0.560
stak,6.75,6.6,6.666666667,5.2,0.6,0.64,0.640
stak,6.25,6.6,5,4.4,1.333333333,1.26,0.920
stak,6.5,7,6.333333333,3.4,0.866666667,0.84,0.480
stak,5.75,6.4,6.333333333,4,0.533333333,0.5,0.500
stak,6,6.6,5.666666667,5.8,0.866666667,0.96,0.960
stak,5.75,6.4,5.333333333,5.2,-0.066666667,-0.08,1.140
stak,6.25,6.8,6,2.6,0.533333333,0.54,0.380
stak,5.5,5.2,4.666666667,4,1.533333333,1.58,1.580
stak,6.5,6.8,6.333333333,5.8,1.266666667,1.2,1.040
stak,5.5,5.6,4.666666667,4.4,0.6,0.64,1.000
stak,6.25,6.8,4,3.8,1.266666667,1.26,0.800
stak,6.75,7,7,6.6,1,1,1.000
stak,4.5,5.2,5,5,0.666666667,0.68,1.320
stak,3.5,6,7,3.6,1.333333333,1.22,1.220
stak,4.25,6.6,7,3.4,0.266666667,0.3,0.800
stak,4.5,7,6,2.8,1.333333333,1.32,0.820
stak,6.25,7,7,3,1,0.98,0.600
stak,5.25,5.6,4.666666667,4.4,0.933333333,0.86,0.980
stak,6.25,6.6,6.333333333,2.6,0.066666667,0.1,0.840
stak,5.75,7,6.666666667,2.2,1.2,1.22,0.600
stak,6.25,6.6,5,4.8,0.666666667,0.64,0.640
stak,7,7,5.666666667,3.4,0.266666667,0.28,0.280
no_stak,6.75,6.4,6.333333333,3.2,0.666666667,0.64,0.640
no_stak,5.75,6.6,6.333333333,6.2,0.466666667,0.36,0.820
no_stak,6,6.6,6.666666667,4.2,0.066666667,0.08,0.080
no_stak,7,6.8,5.333333333,1.8,0.066666667,0.06,0.060
no_stak,5.5,4.8,6.333333333,4.6,1.2,1.32,1.320
no_stak,4.25,5.8,6,3.2,0.4,0.48,0.480
no_stak,5.5,6.2,5.333333333,2.4,0.466666667,0.32,0.320
no_stak,7,7,7,3.6,0.733333333,0.76,0.220
no_stak,5.75,6,6,2.8,0,-0.06,0.380
no_stak,4,6,7,4.4,0.666666667,0.66,1.140
no_stak,3.75,5.6,6.333333333,5.4,1.133333333,1.12,1.120
no_stak,5.25,5.6,6,4.8,0.866666667,0.9,0.900
no_stak,4.5,5.6,6.333333333,4.4,0.333333333,0.32,0.320
no_stak,6.5,7,7,4.6,0.533333333,0.5,0.500
no_stak,5,6,6,4.2,0.866666667,0.88,0.880
no_stak,4.5,6.2,5.333333333,4,0.533333333,0.48,0.480
no_stak,7,7,6.666666667,3.8,0.4,0.38,0.380
no_stak,5.5,6.4,6,4,0.666666667,0.66,0.660
no_stak,7,6.6,6.333333333,4.4,0.666666667,0.7,0.700
no_stak,5.75,6.2,5.333333333,2,0.066666667,0.16,0.160
no_stak,7,7,7,2.8,0.2,0.1,0.100
no_stak,6.75,7,7,5.6,0.733333333,0.72,0.720
no_stak,6.5,6.4,6,5.8,0.466666667,0.56,0.560
no_stak,6.5,5.6,5,5.4,1,1.02,1.020
no_stak,6.75,6.8,6,4.2,0.733333333,0.7,0.700
no_stak,6.5,6.6,6.666666667,3.8,0.8,0.8,0.800
no_stak,7,7,7,4.2,0.133333333,0.08,0.440
no_stak,7,7,7,5.4,0.866666667,0.88,0.720
no_stak,6.5,6.6,4.666666667,3.4,0,0,0.000
no_stak,6,6.8,6.333333333,3,0.333333333,0.28,0.280
no_stak,5.5,6.4,5.333333333,3.4,0.333333333,0.32,0.320
no_stak,6.25,7,6.666666667,4.4,0.6,0.62,0.620
no_stak,5,5.2,5,3,0,0,0.380
no_stak,6.75,5.6,6,5.2,0.666666667,0.68,0.680
no_stak,6.25,6.6,6.666666667,3.8,0.866666667,0.8,0.800
no_stak,6,5.8,4.666666667,4,0.466666667,0.48,0.480
no_stak,7,7,7,7,0.6,0.48,0.480
no_stak,6,5.8,5.666666667,4.8,1.066666667,1.14,1.140
no_stak,6.5,6.8,6,3.2,0.4,0.38,0.380
no_stak,6.5,7,7,5,0.4,0.36,0.360
no_stak,5.25,6,5,2.8,0.466666667,0.44,0.440
no_stak,6.5,6.4,7,3.8,0.533333333,0.7,0.700
no_stak,4.75,4.8,4.333333333,4,1,1.1,1.100
no_stak,7,7,6.666666667,4.4,1,0.94,0.500
no_stak,3.25,4.2,4.666666667,3.8,0.6,0.58,0.960
no_stak,4.25,5.4,5.666666667,2.6,0.666666667,0.66,0.660
no_stak,4.5,5.2,5.333333333,4.4,0.866666667,0.84,0.840
no_stak,6.5,6.4,4.333333333,3.4,0,0,0.500
no_stak,6,6.2,6.333333333,3.8,0.733333333,0.66,0.660
no_stak,5.5,4.2,4,4.4,0.733333333,0.7,1.180
no_stak,6.25,6.4,5.333333333,3.6,0.6,0.7,0.700
no_stak,6.5,6.2,6.333333333,4.6,1.066666667,1.02,1.020
no_stak,6.25,5.8,6,4.4,0.266666667,0.22,0.220
