id,pid,bio,alt,hed,ego,slope
1,stak,5.25,6.8,6,3,0.44
2,stak,4.75,7,6.333333333,2.4,0.56
3,stak,6.75,6.6,6.666666667,5.2,0.64
4,stak,6.25,6.6,5,4.4,0.92
5,stak,6.5,7,6.333333333,3.4,0.48
6,stak,5.75,6.4,6.333333333,4,0.5
7,stak,6,6.6,5.666666667,5.8,0.96
8,stak,5.75,6.4,5.333333333,5.2,1.14
9,stak,6.25,6.8,6,2.6,0.38
10,stak,5.5,5.2,4.666666667,4,1.58
11,stak,6.5,6.8,6.333333333,5.8,1.04
12,stak,5.5,5.6,4.666666667,4.4,1
13,stak,6.25,6.8,4,3.8,0.8
14,stak,6.75,7,7,6.6,1
15,stak,4.5,5.2,5,5,1.32
16,stak,3.5,6,7,3.6,1.22
17,stak,4.25,6.6,7,3.4,0.8
18,stak,4.5,7,6,2.8,0.82
19,stak,6.25,7,7,3,0.6
20,stak,5.25,5.6,4.666666667,4.4,0.98
21,stak,6.25,6.6,6.333333333,2.6,0.84
22,stak,5.75,7,6.666666667,2.2,0.6
23,stak,6.25,6.6,5,4.8,0.64
24,stak,7,7,5.666666667,3.4,0.28
25,no_stak,6.75,6.4,6.333333333,3.2,0.64
26,no_stak,5.75,6.6,6.333333333,6.2,0.82
27,no_stak,6,6.6,6.666666667,4.2,0.08
28,no_stak,7,6.8,5.333333333,1.8,0.06
29,no_stak,5.5,4.8,6.333333333,4.6,1.32
30,no_stak,4.25,5.8,6,3.2,0.48
31,no_stak,5.5,6.2,5.333333333,2.4,0.32
32,no_stak,7,7,7,3.6,0.22
33,no_stak,5.75,6,6,2.8,0.38
34,no_stak,4,6,7,4.4,1.14
35,no_stak,3.75,5.6,6.333333333,5.4,1.12
36,no_stak,5.25,5.6,6,4.8,0.9
37,no_stak,4.5,5.6,6.333333333,4.4,0.32
38,no_stak,6.5,7,7,4.6,0.5
39,no_stak,5,6,6,4.2,0.88
40,no_stak,4.5,6.2,5.333333333,4,0.48
41,no_stak,7,7,6.666666667,3.8,0.38
42,no_stak,5.5,6.4,6,4,0.66
43,no_stak,7,6.6,6.333333333,4.4,0.7
44,no_stak,5.75,6.2,5.333333333,2,0.16
45,no_stak,7,7,7,2.8,0.1
46,no_stak,6.75,7,7,5.6,0.72
47,no_stak,6.5,6.4,6,5.8,0.56
48,no_stak,6.5,5.6,5,5.4,1.02
49,no_stak,6.75,6.8,6,4.2,0.7
50,no_stak,6.5,6.6,6.666666667,3.8,0.8
51,no_stak,7,7,7,4.2,0.44
52,no_stak,7,7,7,5.4,0.72
53,no_stak,6.5,6.6,4.666666667,3.4,0
54,no_stak,6,6.8,6.333333333,3,0.28
55,no_stak,5.5,6.4,5.333333333,3.4,0.32
56,no_stak,6.25,7,6.666666667,4.4,0.62
57,no_stak,5,5.2,5,3,0.38
58,no_stak,6.75,5.6,6,5.2,0.68
59,no_stak,6.25,6.6,6.666666667,3.8,0.8
60,no_stak,6,5.8,4.666666667,4,0.48
61,no_stak,7,7,7,7,0.48
62,no_stak,6,5.8,5.666666667,4.8,1.14
63,no_stak,6.5,6.8,6,3.2,0.38
64,no_stak,6.5,7,7,5,0.36
65,no_stak,5.25,6,5,2.8,0.44
66,no_stak,6.5,6.4,7,3.8,0.7
67,no_stak,4.75,4.8,4.333333333,4,1.1
68,no_stak,7,7,6.666666667,4.4,0.5
69,no_stak,3.25,4.2,4.666666667,3.8,0.96
70,no_stak,4.25,5.4,5.666666667,2.6,0.66
71,no_stak,4.5,5.2,5.333333333,4.4,0.84
72,no_stak,6.5,6.4,4.333333333,3.4,0.5
73,no_stak,6,6.2,6.333333333,3.8,0.66
74,no_stak,5.5,4.2,4,4.4,1.18
75,no_stak,6.25,6.4,5.333333333,3.6,0.7
76,no_stak,6.5,6.2,6.333333333,4.6,1.02
77,no_stak,6.25,5.8,6,4.4,0.22
