Particip,pid,SP1,SP2,SP3,SP4,SP5,SP6,SP7,SP8,SP9,SP10,SP11,SP12,SP13,SP14,SP15,SP16,SP17,SP18,SP19,SP20
Stakeholder,p1,7,6,5,5,5,6,4,5,6,5,4,5,5,5,4,4,4,5,3,3
Stakeholder,p2,7,5,6,5,6,5,4,4,3,4,3,2,4,4,4,2,3,3,3,1
Stakeholder,p3,7,6,6,5,6,5,4,4,6,6,2,3,4,4,4,3,3,3,3,2
Stakeholder,p4,7,5,4,3,5,6,3,4,5,4,4,2,3,3,2,1,4,4,2,1
Stakeholder,p5,6,6,5,4,6,6,5,4,5,6,5,4,6,5,6,4,5,6,5,5
Stakeholder,p6,6,6,6,5,6,6,5,4,6,5,5,4,5,5,5,3,4,5,5,3
Stakeholder,p7,7,5,4,3,5,6,2,4,5,4,4,2,3,3,2,1,4,4,1,1
Stakeholder,p8,7,7,5,3,7,5,4,2,6,6,4,2,5,4,3,4,5,6,3,3
Stakeholder,p9,6,5,6,5,6,5,5,4,5,5,4,4,5,4,4,3,4,4,3,4
Stakeholder,p10,7,6,5,4,7,4,3,1,6,5,2,2,6,5,3,1,6,4,1,1
Stakeholder,p11,7,7,6,2,7,6,4,3,6,7,7,4,7,6,6,4,6,5,4,4
Stakeholder,p12,4,5,3,2,6,4,5,2,5,3,5,1,5,5,2,1,3,4,4,1
Stakeholder,p13,7,5,4,4,6,5,4,3,5,4,5,2,4,4,3,2,4,3,4,2
Stakeholder,p14,6,5,3,2,5,4,3,3,6,3,3,2,4,4,3,2,4,3,2,1
Stakeholder,p15,6,6,4,1,6,5,3,1,6,4,2,2,4,4,1,1,3,5,2,2
Stakeholder,p16,5,4,4,2,7,4,3,2,6,2,3,2,6,4,3,2,6,4,4,2
Stakeholder,p17,7,6,6,4,6,6,5,4,6,6,5,3,5,6,5,3,4,5,4,2
Stakeholder,p18,6,5,4,3,5,5,4,3,4,5,4,3,5,4,3,2,5,4,3,2
Stakeholder,p19,6,6,6,4,6,5,4,4,5,5,4,3,5,3,3,2,3,3,2,3
Stakeholder,p20,7,6,6,4,7,5,5,4,7,5,3,4,7,5,4,5,7,4,6,2
Stakeholder,p21,7,6,6,4,6,5,5,3,5,5,5,3,5,5,3,2,4,4,3,2
Stakeholder,p22,7,6,5,4,6,6,5,4,6,6,5,4,5,6,6,5,6,5,5,4
Stakeholder,p23,7,6,4,4,6,5,6,4,5,4,5,3,5,4,3,3,3,3,2,2
Stakeholder,p24,7,6,6,6,5,5,5,5,5,5,4,4,4,4,3,4,4,3,3,2
No_stakeholder,p25,6,6,6,4,5,6,6,4,5,6,4,3,6,4,5,3,5,4,3,3
No_stakeholder,p26,7,6,5,4,6,6,5,4,5,6,4,3,6,5,4,2,4,4,4,3
No_stakeholder,p27,7,7,7,7,6,6,6,5,5,5,5,5,3,4,4,4,3,3,2,2
No_stakeholder,p28,6,7,6,6,7,6,6,7,7,6,6,6,6,5,6,6,6,6,6,6
No_stakeholder,p29,6,6,4,1,6,5,3,1,6,4,2,2,4,4,1,1,3,5,2,2
No_stakeholder,p30,7,7,5,4,7,7,5,6,7,5,4,6,4,5,4,3,3,2,2,3
No_stakeholder,p31,6,1,5,1,4,4,4,2,4,3,3,3,5,5,6,7,6,5,5,5
No_stakeholder,p32,6,6,4,5,4,5,5,4,5,4,6,4,4,5,4,4,6,3,5,4
No_stakeholder,p33,6,5,6,5,6,5,5,4,5,5,4,4,5,4,4,3,4,4,3,4
No_stakeholder,p34,7,7,5,3,7,5,4,2,6,6,4,2,5,4,3,4,5,6,3,3
No_stakeholder,p35,7,7,6,2,7,6,4,3,6,7,7,4,7,6,6,4,6,6,4,3
No_stakeholder,p36,7,6,5,3,6,5,4,3,5,5,3,3,4,4,3,2,3,3,2,1
No_stakeholder,p37,7,4,3,4,5,6,3,5,4,7,6,4,7,2,6,5,4,3,3,4
No_stakeholder,p38,6,6,5,5,7,6,6,4,7,6,6,5,6,6,5,5,5,5,6,4
No_stakeholder,p39,6,5,4,3,5,5,4,3,4,5,4,3,5,4,3,2,5,4,3,1
No_stakeholder,p40,6,6,5,4,5,5,5,4,5,4,5,3,4,4,3,2,4,3,4,3
No_stakeholder,p41,5,5,4,5,5,4,4,3,4,3,4,4,4,3,3,2,4,4,3,2
No_stakeholder,p42,7,6,4,4,7,6,5,5,5,5,5,3,5,4,4,4,4,3,3,2
No_stakeholder,p43,7,7,4,4,7,5,4,4,5,4,4,4,3,4,4,2,3,4,3,1
No_stakeholder,p44,6,6,5,4,5,7,6,4,4,6,5,4,5,6,4,5,4,6,6,6
No_stakeholder,p45,4,3,7,4,6,5,4,5,5,6,5,4,5,4,4,5,7,3,5,6
No_stakeholder,p46,7,7,6,4,6,6,5,3,5,5,5,3,4,4,3,2,3,3,3,2
No_stakeholder,p47,7,6,5,5,4,7,4,4,4,6,5,3,5,5,4,3,5,4,3,3
No_stakeholder,p48,7,6,5,4,6,5,4,3,5,5,4,3,5,4,3,2,5,4,2,1
No_stakeholder,p49,7,7,6,5,7,6,5,5,6,5,5,4,5,4,4,2,5,4,4,3
No_stakeholder,p50,7,6,6,4,6,6,5,4,6,6,5,3,5,6,5,3,4,5,4,2
No_stakeholder,p51,5,5,4,4,5,4,4,3,4,3,4,3,4,3,3,2,4,4,3,3
No_stakeholder,p52,6,7,2,4,5,4,3,3,7,6,4,5,4,4,1,3,3,2,1,2
No_stakeholder,p53,6,7,6,7,7,6,7,6,6,7,6,7,7,6,7,6,6,7,7,6
No_stakeholder,p54,7,6,6,5,6,4,5,4,5,5,5,4,5,5,5,5,4,4,4,4
No_stakeholder,p55,6,6,5,6,7,6,4,4,6,6,6,7,6,4,4,5,6,4,6,4
No_stakeholder,p56,7,6,4,4,5,5,5,3,3,4,4,3,4,4,3,2,3,3,2,1
