Particip,SPs_G1,group_1,SPs_G2,group_2,SPs_G3,group_3,SPs_G4,group_4,SPs_G5,group_5,order
Stakeholder,SP1,7,SP5,5,SP9,6,SP13,5,SP17,4,4
Stakeholder,SP1,7,SP5,6,SP9,3,SP13,4,SP17,3,4
Stakeholder,SP1,7,SP5,6,SP9,6,SP13,4,SP17,3,4
Stakeholder,SP1,7,SP5,5,SP9,5,SP13,3,SP17,4,4
Stakeholder,SP1,6,SP5,6,SP9,5,SP13,6,SP17,5,4
Stakeholder,SP1,6,SP5,6,SP9,6,SP13,5,SP17,4,4
Stakeholder,SP1,7,SP5,5,SP9,5,SP13,3,SP17,4,4
Stakeholder,SP1,7,SP5,7,SP9,6,SP13,5,SP17,5,4
Stakeholder,SP1,6,SP5,6,SP9,5,SP13,5,SP17,4,4
Stakeholder,SP1,7,SP5,7,SP9,6,SP13,6,SP17,6,4
Stakeholder,SP1,7,SP5,7,SP9,6,SP13,7,SP17,6,4
Stakeholder,SP1,4,SP5,6,SP9,5,SP13,5,SP17,3,4
Stakeholder,SP1,7,SP5,6,SP9,5,SP13,4,SP17,4,4
Stakeholder,SP1,6,SP5,5,SP9,6,SP13,4,SP17,4,4
Stakeholder,SP1,6,SP5,6,SP9,6,SP13,4,SP17,3,4
Stakeholder,SP1,5,SP5,7,SP9,6,SP13,6,SP17,6,4
Stakeholder,SP1,7,SP5,6,SP9,6,SP13,5,SP17,4,4
Stakeholder,SP1,6,SP5,5,SP9,4,SP13,5,SP17,5,4
Stakeholder,SP1,6,SP5,6,SP9,5,SP13,5,SP17,3,4
Stakeholder,SP1,7,SP5,7,SP9,7,SP13,7,SP17,7,4
Stakeholder,SP1,7,SP5,6,SP9,5,SP13,5,SP17,4,4
Stakeholder,SP1,7,SP5,6,SP9,6,SP13,5,SP17,6,4
Stakeholder,SP1,7,SP5,6,SP9,5,SP13,5,SP17,3,4
Stakeholder,SP1,7,SP5,5,SP9,5,SP13,4,SP17,4,4
No_stakeholder,SP1,6,SP5,5,SP9,5,SP13,6,SP17,5,4
No_stakeholder,SP1,7,SP5,6,SP9,5,SP13,6,SP17,4,4
No_stakeholder,SP1,7,SP5,6,SP9,5,SP13,3,SP17,3,4
No_stakeholder,SP1,6,SP5,7,SP9,7,SP13,6,SP17,6,4
No_stakeholder,SP1,6,SP5,6,SP9,6,SP13,4,SP17,3,4
No_stakeholder,SP1,7,SP5,7,SP9,7,SP13,4,SP17,3,4
No_stakeholder,SP1,6,SP5,4,SP9,4,SP13,5,SP17,6,4
No_stakeholder,SP1,6,SP5,4,SP9,5,SP13,4,SP17,6,4
No_stakeholder,SP1,6,SP5,6,SP9,5,SP13,5,SP17,4,4
No_stakeholder,SP1,7,SP5,7,SP9,6,SP13,5,SP17,5,4
No_stakeholder,SP1,7,SP5,7,SP9,6,SP13,7,SP17,6,4
No_stakeholder,SP1,7,SP5,6,SP9,5,SP13,4,SP17,3,4
No_stakeholder,SP1,7,SP5,5,SP9,4,SP13,7,SP17,4,4
No_stakeholder,SP1,6,SP5,7,SP9,7,SP13,6,SP17,5,4
No_stakeholder,SP1,6,SP5,5,SP9,4,SP13,5,SP17,5,4
No_stakeholder,SP1,6,SP5,5,SP9,5,SP13,4,SP17,4,4
No_stakeholder,SP1,5,SP5,5,SP9,4,SP13,4,SP17,4,4
No_stakeholder,SP1,7,SP5,7,SP9,5,SP13,5,SP17,4,4
No_stakeholder,SP1,7,SP5,7,SP9,5,SP13,3,SP17,3,4
No_stakeholder,SP1,6,SP5,5,SP9,4,SP13,5,SP17,4,4
No_stakeholder,SP1,4,SP5,6,SP9,5,SP13,5,SP17,7,4
No_stakeholder,SP1,7,SP5,6,SP9,5,SP13,4,SP17,3,4
No_stakeholder,SP1,7,SP5,4,SP9,4,SP13,5,SP17,5,4
