Particip,pid,SP1,SP2,SP3,SP4,SP5,SP6,SP7,SP8,SP9,SP10,SP11,SP12,SP13,SP14,SP15,SP16,SP17,SP18,SP19,SP20
End-user,p1,7,6,5,5,5,6,4,5,6,5,4,5,5,5,4,4,4,5,3,3
End-user,p2,7,5,6,5,6,5,4,4,3,4,3,2,4,4,4,2,3,3,3,1
End-user,p3,7,6,6,5,6,5,4,4,6,6,2,3,4,4,4,3,3,3,3,2
End-user,p4,7,5,4,3,5,6,3,4,5,4,4,2,3,3,2,1,4,4,2,1
End-user,p5,6,6,5,4,6,6,5,4,5,6,5,4,6,5,6,4,5,6,5,5
End-user,p6,6,6,6,5,6,6,5,4,6,5,5,4,5,5,5,3,4,5,5,3
End-user,p7,7,5,4,3,5,6,2,4,5,4,4,2,3,3,2,1,4,4,1,1
End-user,p8,7,7,5,3,7,5,4,2,6,6,4,2,5,4,3,4,5,6,3,3
End-user,p9,6,5,6,5,6,5,5,4,5,5,4,4,5,4,4,3,4,4,3,4
End-user,p10,7,6,5,4,7,4,3,1,6,5,2,2,6,5,3,1,6,4,1,1
End-user,p11,7,7,6,2,7,6,4,3,6,7,7,4,7,6,6,4,6,5,4,4
End-user,p12,4,5,3,2,6,4,5,2,5,3,5,1,5,5,2,1,3,4,4,1
End-user,p13,7,5,4,4,6,5,4,3,5,4,5,2,4,4,3,2,4,3,4,2
End-user,p14,6,5,3,2,5,4,3,3,6,3,3,2,4,4,3,2,4,3,2,1
End-user,p15,6,6,4,1,6,5,3,1,6,4,2,2,4,4,1,1,3,5,2,2
End-user,p16,5,4,4,2,7,4,3,2,6,2,3,2,6,4,3,2,6,4,4,2
End-user,p17,7,6,6,4,6,6,5,4,6,6,5,3,5,6,5,3,4,5,4,2
End-user,p18,6,5,4,3,5,5,4,3,4,5,4,3,5,4,3,2,5,4,3,2
End-user,p19,6,6,6,4,6,5,4,4,5,5,4,3,5,3,3,2,3,3,2,3
End-user,p20,7,6,6,4,7,5,5,4,7,5,3,4,7,5,4,5,7,4,6,2
End-user,p21,7,6,6,4,6,5,5,3,5,5,5,3,5,5,3,2,4,4,3,2
End-user,p22,7,6,5,4,6,6,5,4,6,6,5,4,5,6,6,5,6,5,5,4
End-user,p23,7,6,4,4,6,5,6,4,5,4,5,3,5,4,3,3,3,3,2,2
End-user,p24,7,6,6,6,5,5,5,5,5,5,4,4,4,4,3,4,4,3,3,2
Test-user,p25,6,6,6,4,5,6,6,4,5,6,4,3,6,4,5,3,5,4,3,3
Test-user,p26,7,6,5,4,6,6,5,4,5,6,4,3,6,5,4,2,4,4,4,3
Test-user,p27,7,7,7,7,6,6,6,5,5,5,5,5,3,4,4,4,3,3,2,2
Test-user,p28,6,7,6,6,7,6,6,7,7,6,6,6,6,5,6,6,6,6,6,6
Test-user,p29,6,6,4,1,6,5,3,1,6,4,2,2,4,4,1,1,3,5,2,2
Test-user,p30,7,7,5,4,7,7,5,6,7,5,4,6,4,5,4,3,3,2,2,3
Test-user,p31,6,1,5,1,4,4,4,2,4,3,3,3,5,5,6,7,6,5,5,5
Test-user,p32,6,6,4,5,4,5,5,4,5,4,6,4,4,5,4,4,6,3,5,4
Test-user,p33,6,5,6,5,6,5,5,4,5,5,4,4,5,4,4,3,4,4,3,4
Test-user,p34,7,7,5,3,7,5,4,2,6,6,4,2,5,4,3,4,5,6,3,3
Test-user,p35,7,7,6,2,7,6,4,3,6,7,7,4,7,6,6,4,6,6,4,3
Test-user,p36,7,6,5,3,6,5,4,3,5,5,3,3,4,4,3,2,3,3,2,1
Test-user,p37,7,4,3,4,5,6,3,5,4,7,6,4,7,2,6,5,4,3,3,4
Test-user,p38,6,6,5,5,7,6,6,4,7,6,6,5,6,6,5,5,5,5,6,4
Test-user,p39,6,5,4,3,5,5,4,3,4,5,4,3,5,4,3,2,5,4,3,1
Test-user,p40,6,6,5,4,5,5,5,4,5,4,5,3,4,4,3,2,4,3,4,3
Test-user,p41,5,5,4,5,5,4,4,3,4,3,4,4,4,3,3,2,4,4,3,2
Test-user,p42,7,6,4,4,7,6,5,5,5,5,5,3,5,4,4,4,4,3,3,2
Test-user,p43,7,7,4,4,7,5,4,4,5,4,4,4,3,4,4,2,3,4,3,1
Test-user,p44,6,6,5,4,5,7,6,4,4,6,5,4,5,6,4,5,4,6,6,6
Test-user,p45,4,3,7,4,6,5,4,5,5,6,5,4,5,4,4,5,7,3,5,6
Test-user,p46,7,7,6,4,6,6,5,3,5,5,5,3,4,4,3,2,3,3,3,2
Test-user,p47,7,6,5,5,4,7,4,4,4,6,5,3,5,5,4,3,5,4,3,3
Test-user,p48,7,6,5,4,6,5,4,3,5,5,4,3,5,4,3,2,5,4,2,1
Test-user,p49,7,7,6,5,7,6,5,5,6,5,5,4,5,4,4,2,5,4,4,3
Test-user,p50,7,6,6,4,6,6,5,4,6,6,5,3,5,6,5,3,4,5,4,2
Test-user,p51,5,5,4,4,5,4,4,3,4,3,4,3,4,3,3,2,4,4,3,3
Test-user,p52,6,7,2,4,5,4,3,3,7,6,4,5,4,4,1,3,3,2,1,2
Test-user,p53,6,7,6,7,7,6,7,6,6,7,6,7,7,6,7,6,6,7,7,6
Test-user,p54,7,6,6,5,6,4,5,4,5,5,5,4,5,5,5,5,4,4,4,4
Test-user,p55,6,6,5,6,7,6,4,4,6,6,6,7,6,4,4,5,6,4,6,4
Test-user,p56,7,6,4,4,5,5,5,3,3,4,4,3,4,4,3,2,3,3,2,1
Test-user,p57,5,5,4,5,5,4,4,3,4,3,4,4,4,3,3,2,4,4,3,2
Test-user,p58,7,7,5,4,6,6,5,3,6,6,5,4,5,6,6,5,6,5,5,4
Test-user,p59,7,5,4,4,6,5,4,3,5,4,5,2,4,4,3,2,4,3,4,2
Test-user,p60,6,6,5,4,6,6,5,4,5,6,5,4,6,5,6,4,5,6,5,5
Test-user,p61,7,6,6,4,6,5,6,4,5,5,6,4,6,5,5,4,4,4,5,3
Test-user,p62,7,7,5,3,7,5,4,2,6,6,4,2,5,4,3,4,5,6,3,3
Test-user,p63,6,5,6,5,6,5,5,4,5,5,4,4,5,4,4,3,4,4,3,4
Test-user,p64,6,6,6,4,5,5,5,4,4,5,4,3,4,4,4,3,2,2,3,1
Test-user,p65,5,5,4,4,5,4,4,3,4,3,4,3,4,3,3,2,4,4,3,3
Test-user,p66,6,7,2,4,5,4,3,3,7,6,4,5,4,4,1,3,3,1,1,2
Test-user,p67,7,7,5,5,7,7,4,3,7,6,4,3,6,5,3,3,3,3,2,1
Test-user,p68,7,6,6,5,6,6,5,4,6,5,5,4,5,5,5,4,4,5,5,3
Test-user,p69,7,5,4,3,5,6,2,4,5,4,4,2,3,3,2,1,4,4,1,1
Test-user,p70,6,6,6,4,6,5,4,4,5,5,4,3,5,3,3,2,3,3,2,2
Test-user,p71,7,6,6,4,6,5,5,3,5,5,5,3,5,5,3,2,4,4,3,2
Test-user,p72,7,5,6,5,6,5,4,4,3,4,3,2,4,4,4,2,3,3,3,2
Test-user,p73,4,3,3,2,4,3,3,2,4,4,4,2,5,3,3,2,4,3,3,2
Test-user,p74,7,7,5,3,7,5,4,2,6,6,4,2,5,4,3,4,5,6,4,2
Test-user,p75,3,3,1,1,3,4,2,2,3,5,2,2,4,6,4,1,7,3,4,5
Test-user,p76,7,6,5,4,7,6,5,4,6,5,6,3,6,5,4,2,5,4,3,2
